time_s,sample,phase,event,x_mm,y_mm,z_mm,radius_xy_mm,rx_deg,ry_deg,rz_deg,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,arm_status,motion_status,ctrl_mode,enable
3.745274,114,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.770727,115,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.810341,116,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.840113,117,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.865643,118,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.900140,119,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.925583,120,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.955555,121,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.990666,122,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
4.020596,123,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
4.050614,124,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
4.080581,125,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
4.115232,126,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
4.145040,127,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
4.170493,128,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
4.200264,129,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
4.229888,130,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
4.260327,131,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
4.286617,132,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
4.329863,133,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
4.355297,134,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
